model_lat	er_citation_names	compilation_names	average_inc	er_site_names	average_int	average_age_low	average_int_sigma_perc	average_alpha95	magic_method_codes	vadm	average_r	average_int_nn	model_lon	average_age	result_description	er_location_names	average_int_sigma	vadm_n	compilation_ids	data_type	average_dec	vdm_n	vgp_lat	average_nn	average_lat	average_age_unit	average_age_sigma	average_k	average_lon	vgp_dm	average_n	vgp_dp	pmag_result_name	tilt_correction	average_age_high	vgp_lon	vdm
				8	4.25E-05		3.29		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			4					1.40E-06																8				8.10E+22
				12	5.95E-05		3.7		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			3					2.20E-06																12				1.19E+23
				13	4.24E-05		3.77		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			3					1.60E-06																13				1.08E+23
				20	4.31E-05		10.7		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			2					4.60E-06																20				1.02E+23
				23	2.18E-05		6.42		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			3					1.40E-06																23				5.40E+22
				24	2.18E-05		6.42		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			3					1.40E-06																24				5.40E+22
				25	2.93E-05		7.17		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			4					2.10E-06																25				7.30E+22
				27	3.75E-05		2.13		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			6					8.00E-07																27				9.10E+22
				29	4.12E-05		5.58		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			3					2.30E-06																29				8.30E+22
				30	4.44E-05		0.45		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			4					2.00E-07																30				1.01E+23
				34	4.81E-05		4.16		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			3					2.00E-06																34				1.14E+23
				35	3.11E-05		0.965		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			4					3.00E-07																35				7.40E+22
				36	5.04E-05		2.78		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			10					1.40E-06																36				1.18E+23
				38	4.81E-05		7.28		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			4					3.50E-06																38				1.13E+23
				41	3.58E-05		9.78		LP-DIR-AF:LP-DC2:LP-PI-ALT-PTRM			4					3.50E-06																41				9.00E+22
	This study:Johnson et al. 2007	TAFI:20D	-58.3	OK21				3.1	LP-DIR					4450	VGP calculated using present lat/lon	Hawaii				i	157.1		-64.1	7	22.07	ka		386	200.34				TAFI-PMCORR: OK21	0		336.4	
20.7803	This study:Johnson et al. 2007	TAFI:20D	-58.3	OK21				3.1	LP-DIR:IE-MLAT-PR				202.509	4450	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	157.1		-63.2	7	22.07	ka		386	200.34				TAFI: OK21	0		340.4	
	This study:Johnson et al. 2007	TAFI:20D	-38.7	OK20				5.8	LP-DIR					4450	VGP calculated using present lat/lon	Hawaii				i	169.6		-80.4	7	22.07	ka		109	200.34				TAFI-PMCORR: OK20	0		290.9	
20.7803	This study:Johnson et al. 2007	TAFI:20D	-38.7	OK20				5.8	LP-DIR:IE-MLAT-PR				202.509	4450	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	169.6		-80.3	7	22.07	ka		109	200.34				TAFI: OK20	0		300.6	
	This study:Johnson et al. 2007	TAFI:20D	0.6	OK19				1.9	LP-DIR					4450	VGP calculated using present lat/lon	Hawaii				i	183.7		-67.3	6	22.07	ka		1193	200.34				TAFI-PMCORR: OK19	0		190.7	
20.7803	This study:Johnson et al. 2007	TAFI:20D	0.6	OK19				1.9	LP-DIR:IE-MLAT-PR				202.509	4450	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	183.7		-68.6	6	22.07	ka		1193	200.34				TAFI: OK19	0		192.3	
	This study:Johnson et al. 2007	TAFI:20D	72.7	OK17				1.7	LP-DIR					4450	VGP calculated using present lat/lon	Hawaii				i	0.8		54	7	22.07	ka		1217	200.34				TAFI-PMCORR: OK17	0		201.1	
20.7803	This study:Johnson et al. 2007	TAFI:20D	72.7	OK17				1.7	LP-DIR:IE-MLAT-PR				202.509	4450	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	0.8		52.7	7	22.07	ka		1217	200.34				TAFI: OK17	0		203.2	
	This study:Johnson et al. 2007	TAFI:20D	73.7	OK16				1.9	LP-DIR					4450	VGP calculated using present lat/lon	Hawaii				i	350.7		51.8	7	22.07	ka		1013	200.34				TAFI-PMCORR: OK16	0		192.8	
20.7803	This study:Johnson et al. 2007	TAFI:20D	73.7	OK16				1.9	LP-DIR:IE-MLAT-PR				202.509	4450	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	350.7		50.5	7	22.07	ka		1013	200.34				TAFI: OK16	0		195.1	
	This study:Johnson et al. 2007	TAFI:20D	72.3	OK15				4.2	LP-DIR					4450	VGP calculated using present lat/lon	Hawaii				i	351		54	7	22.07	ka		207	200.34				TAFI-PMCORR: OK15	0		192.1	
20.7803	This study:Johnson et al. 2007	TAFI:20D	72.3	OK15				4.2	LP-DIR:IE-MLAT-PR				202.509	4450	VGP calculated using plate motion corrected lat/lon using Nuvel-1A	Hawaii				i	351		52.7	7	22.07	ka		207	200.34				TAFI: OK15	0		194.5	
