tab 	er_sites
er_citation_names	er_location_name	er_site_name	site_class	site_definition	site_lithology	site_type
This study	U1361A	318-U1361A-001H-2-W-35	Sedimentary	s	Silicate-Clay:Silty Clay	Sediment Layer
This study	U1361A	318-U1361A-001H-3-W-90	Sedimentary	s	Silicate-Clay:Silty Clay	Sediment Layer
This study	U1361A	318-U1361A-001H-4-W-50	Sedimentary	s	Silicate-Clay:Silty Clay	Sediment Layer
This study	U1361A	318-U1361A-001H-5-W-59	Sedimentary	s	Silicate-Clay:Silty Clay	Sediment Layer
This study	U1361A	318-U1361A-001H-6-W-60	Sedimentary	s	Silicate-Clay:Silty Clay	Sediment Layer
This study	U1361A	318-U1361A-001H_2A-0.1	Sedimentary	s	Silicate-Clay:Silty Clay	Sediment Layer
This study	U1361A	318-U1361A-001H_2A-0.15	Sedimentary	s	Silicate-Clay:Silty Clay	Sediment Layer
This study	U1361A	318-U1361A-001H_2A-0.2	Sedimentary	s	Silicate-Clay:Silty Clay	Sediment Layer
This study	U1361A	318-U1361A-001H_2A-0.25	Sedimentary	s	Silicate-Clay:Silty Clay	Sediment Layer
This study	U1361A	318-U1361A-001H_2A-0.3	Sedimentary	s	Silicate-Clay:Silty Clay	Sediment Layer
This study	U1361A	318-U1361A-001H_2A-0.35	Sedimentary	s	Silicate-Clay:Silty Clay	Sediment Layer
This study	U1361A	318-U1361A-001H_2A-0.4	Sedimentary	s	Silicate-Clay:Silty Clay	Sediment Layer
This study	U1361A	318-U1361A-001H_2A-0.45	Sedimentary	s	Silicate-Clay:Silty Clay	Sediment Layer
This study	U1361A	318-U1361A-001H_2A-0.5	Sedimentary	s	Silicate-Clay:Silty Clay	Sediment Layer
This study	U1361A	318-U1361A-001H_2A-0.55	Sedimentary	s	Silicate-Clay:Silty Clay	Sediment Layer
This study	U1361A	318-U1361A-001H_2A-0.6	Sedimentary	s	Silicate-Clay:Silty Clay	Sediment Layer
This study	U1361A	318-U1361A-001H_2A-0.65	Sedimentary	s	Silicate-Clay:Silty Clay	Sediment Layer
This study	U1361A	318-U1361A-001H_2A-0.7	Sedimentary	s	Silicate-Clay:Silty Clay	Sediment Layer
This study	U1361A	318-U1361A-001H_2A-0.75	Sedimentary	s	Silicate-Clay:Silty Clay	Sediment Layer
This study	U1361A	318-U1361A-001H_2A-0.8	Sedimentary	s	Silicate-Clay:Silty Clay	Sediment Layer
This study	U1361A	318-U1361A-001H_2A-0.85	Sedimentary	s	Silicate-Clay:Silty Clay	Sediment Layer
This study	U1361A	318-U1361A-001H_2A-0.9	Sedimentary	s	Silicate-Clay:Silty Clay	Sediment Layer
This study	U1361A	318-U1361A-001H_2A-0.95	Sedimentary	s	Silicate-Clay:Silty Clay	Sediment Layer
This study	U1361A	318-U1361A-001H_2A-1	Sedimentary	s	Silicate-Clay:Silty Clay	Sediment Layer
This study	U1361A	318-U1361A-001H_2A-1.05	Sedimentary	s	Silicate-Clay:Silty Clay	Sediment Layer
This study	U1361A	318-U1361A-001H_2A-1.1	Sedimentary	s	Silicate-Clay:Silty Clay	Sediment Layer
This study	U1361A	318-U1361A-001H_2A-1.15	Sedimentary	s	Silicate-Clay:Silty Clay	Sediment Layer
This study	U1361A	318-U1361A-001H_2A-1.2	Sedimentary	s	Silicate-Clay:Silty Clay	Sediment Layer
