tab 	sites
age	age_sigma	age_unit	analysts	citations	criteria	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	lat	lithologies	location	lon	method_codes	result_type	samples	site	software_packages	specimens	vadm	vadm_n_samples	vadm_sigma	vdm	vdm_n_samples	vdm_sigma	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
6.73	0.085	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															0.00001182	0.000000454	3.842	2	-78.226		McMurdo	162.735	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM	i	mc113m:mc113j	mc113	pmagpy-2.60	mc113m1:mc113j1	1.553E+22	2	5.964E+20	1.667E+22	2	6.405E+20					
																																mc113													
1.62	0.14	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.1	A	52.4	-69.7	614	5		5	0	n	4.9935	0	Extrusive:Igneous	Lava Flow					-78.224	Basalt	McMurdo	162.783	DA-DIR-GEO:DE-FM			mc114	pmagpy-2.60	mc114b2 : mc114c1 : mc114d2 : mc114i1:mc114a1											
1.62	0.14	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.1		52.4	-69.7	614	5	5				4.9935	0							-78.224		McMurdo	162.783	DE-DI:DE-FM	i		mc114	pmagpy-2.60	mc114b2 : mc114c1 : mc114d2 : mc114i1:mc114a1							1.8	6	59.4	230.7	5
																																mc114													
2.46	0.155	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.5	A	77.7	68.1	359.2	6		6	0	r	5.9861	0	Extrusive:Igneous	Lava Flow					-78.243	Basalt	McMurdo	162.958	DA-DIR-GEO:DE-FM			mc115	pmagpy-2.60	mc115a2 : mc115b1 : mc115e1 : mc115g2 : mc115h1:mc115a1											
2.46	0.155	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															0.00002461	0.0000004299	1.747	2			McMurdo		IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		mc115b:mc115a	mc115	pmagpy-2.60	mc115b1:mc115a2											
2.46	0.155	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.5		77.7	68.1	359.2	6	6				5.9861	0							-78.243		McMurdo	162.958	DE-DI:DE-FM	i		mc115	pmagpy-2.60	mc115a2 : mc115b1 : mc115e1 : mc115g2 : mc115h1:mc115a1							1.9	6.8	-47.4	227.7	6
2.46	0.155	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															0.00002461	0.0000004299	1.747	2	-78.243		McMurdo	162.958	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM	i	mc115b:mc115a	mc115	pmagpy-2.60	mc115b1:mc115a2	3.233E+22	2	5.647E+20	3.788E+22	2	6.618E+20					
																																mc115													
1.14	0.055	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	6.5	A	274.6	-81.2	139.7	5		5	0	n	4.9714	0	Extrusive:Igneous	Lava Flow					-78.222	Basalt	McMurdo	162.744	DA-DIR-GEO:DE-FM			mc116	pmagpy-2.60	mc116b1 : mc116c1 : mc116i2 : mc116j2:mc116a1											
1.14	0.055	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															0.00003977	0.000001761	4.427	2			McMurdo		IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		mc116j:mc116b	mc116	pmagpy-2.60	mc116j2:mc116b1											
1.14	0.055	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	6.5		274.6	-81.2	139.7	5	5				4.9714	0							-78.222		McMurdo	162.744	DE-DI:DE-FM	i		mc116	pmagpy-2.60	mc116b1 : mc116c1 : mc116i2 : mc116j2:mc116a1							8.7	12.6	70	42.5	5
1.14	0.055	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															0.00003977	0.000001761	4.427	2	-78.222		McMurdo	162.744	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM	i	mc116j:mc116b	mc116	pmagpy-2.60	mc116j2:mc116b1	5.224E+22	2	2.313E+21	5.32E+22	2	2.355E+21					
																																mc116													
2.28	0.12	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	1.2	A	164.5	70	3152.4	6		6	0	r	5.9984	0	Extrusive:Igneous	Lava Flow					-78.235	Basalt	McMurdo	162.973	DA-DIR-GEO:DE-FM			mc117	pmagpy-2.60	mc117a2 : mc117b1 : mc117d2 : mc117e2 : mc117h1:mc117a1											
2.28	0.12	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															0.00002641	0.0000007253	2.747	4			McMurdo		IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		mc117b : mc117d : mc117e:mc117a	mc117	pmagpy-2.60	mc117b1 : mc117d2 : mc117e2:mc117a1											
2.28	0.12	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	1.2		164.5	70	3152.4	6	6				5.9984	0							-78.235		McMurdo	162.973	DE-DI:DE-FM	i		mc117	pmagpy-2.60	mc117a2 : mc117b1 : mc117d2 : mc117e2 : mc117h1:mc117a1							0.7	2.3	-65.1	321	6
2.28	0.12	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															0.00002641	0.0000007253	2.747	4	-78.235		McMurdo	162.973	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM	i	mc117b : mc117d : mc117e:mc117a	mc117	pmagpy-2.60	mc117b1 : mc117d2 : mc117e2:mc117a1	3.469E+22	4	9.528E+20	3.969E+22	4	1.09E+21					
																																mc117													
0.31	0.02	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	6.1	A	58.9	-53.1	99	7		7	0	n	6.9394	0	Extrusive:Igneous	Lava Flow					-78.241	Basalt	McMurdo	163.141	DA-DIR-GEO:DE-FM			mc118	pmagpy-2.60	mc118c1 : mc118d1 : mc118e1 : mc118f1 : mc118i1 : mc118l2:mc118a1											
0.31	0.02	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	6.1		58.9	-53.1	99	7	7				6.9394	0							-78.241		McMurdo	163.141	DE-DI:DE-FM	i		mc118	pmagpy-2.60	mc118c1 : mc118d1 : mc118e1 : mc118f1 : mc118i1 : mc118l2:mc118a1							2.1	11.8	39.1	229.8	7
																																mc118													
1.08	0.11	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.3	A	124.8	49	864.8	6		6	0	r	5.9942	0	Extrusive:Igneous	Lava Flow					-78.239	Basalt	McMurdo	162.957	DA-DIR-GEO:DE-FM			mc119	pmagpy-2.60	mc119b1 : mc119b2 : mc119d2 : mc119e2 : mc119f2:mc119a1											
1.08	0.11	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															0.00004097	0.000001947	4.753	5			McMurdo		IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		mc119b : mc119d : mc119e : mc119f:mc119a	mc119	pmagpy-2.60	mc119b1 : mc119d2 : mc119e2 : mc119f2:mc119a1											
1.08	0.11	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.3		124.8	49	864.8	6	6				5.9942	0							-78.239		McMurdo	162.957	DE-DI:DE-FM	i		mc119	pmagpy-2.60	mc119b1 : mc119b2 : mc119d2 : mc119e2 : mc119f2:mc119a1							0.7	4.5	-36.1	281.2	6
1.08	0.11	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															0.00004097	0.000001947	4.753	5	-78.239		McMurdo	162.957	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM	i	mc119b : mc119d : mc119e : mc119f:mc119a	mc119	pmagpy-2.60	mc119b1 : mc119d2 : mc119e2 : mc119f2:mc119a1	5.382E+22	5	2.558E+21	8.018E+22	5	3.811E+21					
																																mc119													
				This study															Extrusive:Igneous	Lava Flow					-77.58	Basalt	McMurdo	166.23				mc12													
																																mc12													
1.756	0.025	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.3	A	73.6	-70.6	509.6	9		9	0	n	8.9843	0	Extrusive:Igneous	Lava Flow					-78.241	Basalt	McMurdo	163.092	DA-DIR-GEO:DE-FM			mc120	pmagpy-2.60	mc120a2 : mc120b1 : mc120b2 : mc120c1 : mc120f1 : mc120j2 : mc120l1 : mc120m2:mc120a1											
1.756	0.025	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															0.00002432	0.0000007249	2.981	5			McMurdo		IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		mc120b : mc120c : mc120f:mc120a	mc120	pmagpy-2.60	mc120b1 : mc120b2 : mc120c1 : mc120f1:mc120a1											
1.756	0.025	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.3		73.6	-70.6	509.6	9	9				8.9843	0							-78.241		McMurdo	163.092	DE-DI:DE-FM	i		mc120	pmagpy-2.60	mc120a2 : mc120b1 : mc120b2 : mc120c1 : mc120f1 : mc120j2 : mc120l1 : mc120m2:mc120a1							1.4	4.5	56.5	253.9	9
1.756	0.025	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															0.00002432	0.0000007249	2.981	5	-78.241		McMurdo	163.092	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM	i	mc120b : mc120c : mc120f:mc120a	mc120	pmagpy-2.60	mc120b1 : mc120b2 : mc120c1 : mc120f1:mc120a1	3.195E+22	5	9.523E+20	3.627E+22	5	1.081E+21					
																																mc120													
2.505	0.03	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.3	A	117.4	78.4	389.2	11		11	0	r	10.9743	0	Extrusive:Igneous	Lava Flow					-78.235	Basalt	McMurdo	162.954	DA-DIR-GEO:DE-FM			mc121	pmagpy-2.60	mc121c1 : mc121c3 : mc121d1 : mc121d2 : mc121e2 : mc121f2 : mc121g1 : mc121i1 : mc121k1 : mc121k2:mc121a1											
2.505	0.03	Ma	Lisa Tauxe	This study	IE-SPEC																0.00002466	0.000007086	28.73	7			McMurdo		DA-AC-AARM: IE-TT : LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		mc121d : mc121e : mc121f : mc121g : mc121k: mc121k :mc121c	mc121	pmagpy-2.60	mc121d1 : mc121e1 : mc121f2 : mc121g1 : mc121k1 : mc121k2:mc121c1											
2.505	0.03	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.3		117.4	78.4	389.2	11	11				10.9743	0							-78.235		McMurdo	162.954	DE-DI:DE-FM	i		mc121	pmagpy-2.60	mc121c1 : mc121c3 : mc121d1 : mc121d2 : mc121e2 : mc121f2 : mc121g1 : mc121i1 : mc121k1 : mc121k2:mc121a1							2.3	4.5	-70.3	250	11
																																mc121													
12.699	0.045	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	5.8	A	12.2	-72.4	177.8	5		5	0	n	4.9775	0	Extrusive:Igneous	Lava Flow					-78.187	Basalt	McMurdo	163.58	DA-DIR-GEO:DE-FM			mc122	pmagpy-2.60	mc122b1 : mc122c1 : mc122d1 : mc122k2:mc122a1											
12.699	0.045	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	5.8		12.2	-72.4	177.8	5	5				4.9775	0							-78.187		McMurdo	163.58	DE-DI:DE-FM	i		mc122	pmagpy-2.60	mc122b1 : mc122c1 : mc122d1 : mc122k2:mc122a1							3.9	11.2	69	182	5
																																mc122													
1.93	0.025	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.1	A	76.1	-82.1	317.2	8		8	0	n	7.9779	0	Extrusive:Igneous	Lava Flow					-78.254	Basalt	McMurdo	163.729	DA-DIR-GEO:DE-FM			mc123	pmagpy-2.60	mc123a2 : mc123b1 : mc123b2 : mc123c2 : mc123c3 : mc123f1 : mc123j1:mc123a1											
1.93	0.025	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															0.00003004	0.000002256	7.511	4			McMurdo		IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		mc123b : mc123c:mc123a	mc123	pmagpy-2.60	mc123b1 : mc123b2 : mc123c3:mc123a2											
1.93	0.025	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.1		76.1	-82.1	317.2	8	8				7.9779	0							-78.254		McMurdo	163.729	DE-DI:DE-FM	i		mc123	pmagpy-2.60	mc123a2 : mc123b1 : mc123b2 : mc123c2 : mc123c3 : mc123f1 : mc123j1:mc123a1							4.6	6	73	280.9	8
1.93	0.025	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															0.00003004	0.000002256	7.511	4	-78.254		McMurdo	163.729	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM	i	mc123b : mc123c:mc123a	mc123	pmagpy-2.60	mc123b1 : mc123b2 : mc123c3:mc123a2	3.946E+22	4	2.964E+21	3.993E+22	4	2.999E+21					
																																mc123													
12.61	0.055	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.4	A	13.2	-73.4	654.8	7		7	0	n	6.9908	0	Extrusive:Igneous	Lava Flow					-78.186	Basalt	McMurdo	163.567	DA-DIR-GEO:DE-FM			mc124	pmagpy-2.60	mc124d1 : mc124d2 : mc124f1 : mc124g1 : mc124j1 : mc124l1:mc124a1											
12.61	0.055	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.4		13.2	-73.4	654.8	7	7				6.9908	0							-78.186		McMurdo	163.567	DE-DI:DE-FM	i		mc124	pmagpy-2.60	mc124d1 : mc124d2 : mc124f1 : mc124g1 : mc124j1 : mc124l1:mc124a1							1.7	4.6	70.5	184.1	7
																																mc124													
4.26	0.09	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	5.4	A	345	-67.7	92.4	9		9	0	n	8.9134	0	Intrusive:Igneous	Volcanic Dike					-78.254	Basalt	McMurdo	163.73	DA-DIR-GEO:DE-FM			mc125	pmagpy-2.60	mc125b1 : mc125c1 : mc125d1 : mc125e1 : mc125e3 : mc125g1 : mc125i1 : mc125m1:mc125a1											
4.26	0.09	Ma	Lisa Tauxe	This study	IE-SPEC																0.00002592	0	0	1			McMurdo		IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		mc125i	mc125	pmagpy-2.60	mc125i1											
4.26	0.09	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	5.4		345	-67.7	92.4	9	9				8.9134	0							-78.254		McMurdo	163.73	DE-DI:DE-FM	i		mc125	pmagpy-2.60	mc125b1 : mc125c1 : mc125d1 : mc125e1 : mc125e3 : mc125g1 : mc125i1 : mc125m1:mc125a1							2.9	10.5	61.8	143.4	9
																																mc125													
4	4	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	5.5	A	359.4	-79.6	103.2	8		8	0	n	7.9321	0	Extrusive:Igneous	Lava Flow					-78.253	Basalt	McMurdo	163.737	DA-DIR-GEO:DE-FM			mc126	pmagpy-2.60	mc126c1 : mc126c2 : mc126d1 : mc126e1 : mc126f1 : mc126g1 : mc126i1:mc126a2											
4	4	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	5.5		359.4	-79.6	103.2	8	8				7.9321	0							-78.253		McMurdo	163.737	DE-DI:DE-FM	i		mc126	pmagpy-2.60	mc126c1 : mc126c2 : mc126d1 : mc126e1 : mc126f1 : mc126g1 : mc126i1:mc126a2							6.2	10.7	81.6	162.3	8
																																mc126													
1.942	0.034	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.1	A	326.2	-67.2	666.9	8		8	0	n	7.9895	0	Extrusive:Igneous	Lava Flow					-78.254	Basalt	McMurdo	163.733	DA-DIR-GEO:DE-FM			mc127	pmagpy-2.60	mc127a2 : mc127b1 : mc127c1 : mc127d1 : mc127f1 : mc127g2 : mc127i1:mc127a1											
1.942	0.034	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															0.00003849	0.000001522	3.954	2			McMurdo		IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		mc127c:mc127a	mc127	pmagpy-2.60	mc127c1:mc127a2											
1.942	0.034	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.1		326.2	-67.2	666.9	8	8				7.9895	0							-78.254		McMurdo	163.733	DE-DI:DE-FM	i		mc127	pmagpy-2.60	mc127a2 : mc127b1 : mc127c1 : mc127d1 : mc127f1 : mc127g2 : mc127i1:mc127a1							1.1	4.1	59.1	119.5	8
1.942	0.034	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															0.00003849	0.000001522	3.954	2	-78.254		McMurdo	163.733	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM	i	mc127c:mc127a	mc127	pmagpy-2.60	mc127c1:mc127a2	5.056E+22	2	1.999E+21	5.993E+22	2	2.37E+21					
																																mc127													
4	4	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.8	A	36.9	-80.1	395.8	8		8	0	n	7.9823	0	Extrusive:Igneous	Lava Flow					-78.21	Basalt	McMurdo	166.571	DA-DIR-GEO:DE-FM			mc128	pmagpy-2.60	mc128b2 : mc128c2 : mc128d1 : mc128e2 : mc128f1 : mc128h1 : mc128j1:mc128b1											
4	4	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															0.00003429	0.000002688	7.839	3			McMurdo		IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		mc128c : mc128j:mc128b	mc128	pmagpy-2.60	mc128c2 : mc128j1:mc128b2											
4	4	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.8		36.9	-80.1	395.8	8	8				7.9823	0							-78.21		McMurdo	166.571	DE-DI:DE-FM	i		mc128	pmagpy-2.60	mc128b2 : mc128c2 : mc128d1 : mc128e2 : mc128f1 : mc128h1 : mc128j1:mc128b1							3.3	5.4	78	238.4	8
4	4	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															0.00003429	0.000002688	7.839	3	-78.21		McMurdo	166.571	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM	i	mc128c : mc128j:mc128b	mc128	pmagpy-2.60	mc128c2 : mc128j1:mc128b2	4.505E+22	3	3.532E+21	4.626E+22	3	3.627E+21					
																																mc128													
4	4	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.3	A	22.1	-54.5	490.9	9		9	0	n	8.9837	0	Intrusive:Igneous	Volcanic Dike					-78.214	Basalt	McMurdo	166.577	DA-DIR-GEO:DE-FM			mc129	pmagpy-2.60	mc129a2 : mc129b1 : mc129c1 : mc129c2 : mc129f1 : mc129h2 : mc129j1 : mc129l1:mc129a1											
4	4	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.3		22.1	-54.5	490.9	9	9				8.9837	0							-78.214		McMurdo	166.577	DE-DI:DE-FM	i		mc129	pmagpy-2.60	mc129a2 : mc129b1 : mc129c1 : mc129c2 : mc129f1 : mc129h2 : mc129j1 : mc129l1:mc129a1							0.8	4.5	45.8	192.8	9
																																mc129													
				This study		12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus.													Extrusive:Igneous	Lava Flow					-77.64	Trachyte	McMurdo	166.41				mc13													
0.055	0.005	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.5	A	110.5	-70.6	259.5	8		7	1	n	7.975	0									McMurdo		DA-DIR-GEO:DE-FM			mc13	pmagpy-2.60	mc13b : mc13c : mc13d : mc13e : mc13f : mc13g : mc13h:mc13a											
0.055	0.005	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															0.00003041	0.000002177	7.158	3			McMurdo		IE-TT: LP-PI-ALT-PTRM : LP-PI-ZI :LP-PI-TRM		mc13b : mc13c:mc13a	mc13	pmagpy-2.60	mc13b : mc13c:mc13a											
0.055	0.005	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.5		110.5	-70.6	259.5	8	8				7.975	0							-77.64		McMurdo	166.41	DE-DI:DE-FM	i		mc13	pmagpy-2.60	mc13b : mc13c : mc13d : mc13e : mc13f : mc13g : mc13h:mc13a							2.3	6.8	49.1	291	8
0.055	0.005	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															0.00003041	0.000002177	7.158	3	-77.64		McMurdo	166.41	IE-TT: LP-PI-ALT-PTRM : LP-PI-ZI :LP-PI-TRM	i	mc13b : mc13c:mc13a	mc13	pmagpy-2.60	mc13b : mc13c:mc13a	4.001E+22	3	2.864E+21	4.536E+22	3	3.247E+21					
																																mc13													
7.251	0.035	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.3	A	150.5	46.1	405.9	6		6	0	r	5.9877	0	Extrusive:Igneous	Lava Flow					-78.21	Basalt	McMurdo	166.579	DA-DIR-GEO:DE-FM			mc130	pmagpy-2.60	mc130a2 : mc130b1 : mc130d1 : mc130e1 : mc130g2:mc130a1											
7.251	0.035	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.3		150.5	46.1	405.9	6	6				5.9877	0							-78.21		McMurdo	166.579	DE-DI:DE-FM	i		mc130	pmagpy-2.60	mc130a2 : mc130b1 : mc130d1 : mc130e1 : mc130g2:mc130a1							1	6.4	-37.5	313.1	6
																																mc130													
4	4	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.4	A	22.3	-58.1	526.8	8		8	0	n	7.9867	0	Extrusive:Igneous	Lava Flow					-78.214	Basalt	McMurdo	166.573	DA-DIR-GEO:DE-FM			mc131	pmagpy-2.60	mc131b1 : mc131c2 : mc131d2 : mc131e1 : mc131f1 : mc131g1 : mc131k1:mc131a3											
4	4	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															0.00001679	0.0000008907	5.304	5			McMurdo		IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		mc131c : mc131d : mc131e : mc131g:mc131b	mc131	pmagpy-2.60	mc131c2 : mc131d2 : mc131e1 : mc131g1:mc131b1											
4	4	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.4		22.3	-58.1	526.8	8	8				7.9867	0							-78.214		McMurdo	166.573	DE-DI:DE-FM	i		mc131	pmagpy-2.60	mc131b1 : mc131c2 : mc131d2 : mc131e1 : mc131f1 : mc131g1 : mc131k1:mc131a3							0.9	4.6	49.5	193.7	8
4	4	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															0.00001679	0.0000008907	5.304	5	-78.214		McMurdo	166.573	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM	i	mc131c : mc131d : mc131e : mc131g:mc131b	mc131	pmagpy-2.60	mc131c2 : mc131d2 : mc131e1 : mc131g1:mc131b1	2.206E+22	5	1.17E+21	2.943E+22	5	1.561E+21					
																																mc131													
4	4	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	5	A	6.3	38.3	195.4	6		4	2	t	5.9795	0	Extrusive:Igneous	Lava Flow					-78.206	Basalt	McMurdo	166.552	DA-DIR-GEO:DE-FM			mc132	pmagpy-2.60	mc132c1 : mc132d1 : mc132e2 : mc132g2 : mc132l1:mc132a1											
4	4	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															0.000003294	0.0000001438	4.365	7			McMurdo		IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		mc132f : mc132g : mc132h : mc132i : mc132j : mc132k:mc132e	mc132	pmagpy-2.60	mc132f2 : mc132g2 : mc132h2 : mc132i2 : mc132j1 : mc132k1:mc132e2											
4	4	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	5		6.3	38.3	195.4	6	6				5.9795	0							-78.206		McMurdo	166.552	DE-DI:DE-FM	i		mc132	pmagpy-2.60	mc132c1 : mc132d1 : mc132e2 : mc132g2 : mc132l1:mc132a1							1.3	9.7	-9.8	172.5	6
4	4	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															0.000003294	0.0000001438	4.365	7	-78.206		McMurdo	166.552	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM	i	mc132f : mc132g : mc132h : mc132i : mc132j : mc132k:mc132e	mc132	pmagpy-2.60	mc132f2 : mc132g2 : mc132h2 : mc132i2 : mc132j1 : mc132k1:mc132e2	4.327E+21	7	1.889E+20	7.187E+21	7	3.138E+20					
																																mc132													
4	4	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	4.4	A	36.3	-85.7	235	6		6	0	n	5.9787	0	Extrusive:Igneous	Lava Flow					-78.199	Trachyte	McMurdo	166.584	DA-DIR-GEO:DE-FM			mc133	pmagpy-2.60	mc133d1 : mc133f1 : mc133f2 : mc133h1 : mc133j1:mc133b2											
4	4	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															0.0000463	0.000003454	7.46	2			McMurdo		IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		mc133g:mc133f	mc133	pmagpy-2.60	mc133g1:mc133f1											
4	4	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	4.4		36.3	-85.7	235	6	6				5.9787	0							-78.199		McMurdo	166.584	DE-DI:DE-FM	i		mc133	pmagpy-2.60	mc133d1 : mc133f1 : mc133f2 : mc133h1 : mc133j1:mc133b2							12	8.5	83	300.6	6
4	4	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															0.0000463	0.000003454	7.46	2	-78.199		McMurdo	166.584	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM	i	mc133g:mc133f	mc133	pmagpy-2.60	mc133g1:mc133f1	6.083E+22	2	4.537E+21	6.036E+22	2	4.503E+21					
																																mc133													
9.02	0.025	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.6	A	12.5	-84.3	886.4	5		5	0	n	4.9955	0	Extrusive:Igneous	Lava Flow					-78.219	Basalt	McMurdo	166.607	DA-DIR-GEO:DE-FM			mc134	pmagpy-2.60	mc134c1 : mc134e1 : mc134f1 : mc134k1:mc134a1											
9.02	0.025	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.6		12.5	-84.3	886.4	5	5				4.9955	0							-78.219		McMurdo	166.607	DE-DI:DE-FM	i		mc134	pmagpy-2.60	mc134c1 : mc134e1 : mc134f1 : mc134k1:mc134a1							5.3	5	87.5	273.8	5
																																mc134													
