tab 	er_samples
er_citation_names	er_expedition_name	er_location_name	er_sample_alternatives	er_sample_name	er_site_name	magic_method_codes	sample_azimuth	sample_composite_depth	sample_core_depth	sample_date	sample_dip	sample_volume
This study	XXX	UTESTA	CUBE6603801	XXX-UTESTA-1H-1_W_62	XXX-UTESTA-1H-1_W_62	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	0.62	0.62	2015:04:10:3:04:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6603811	XXX-UTESTA-1H-2_W_87	XXX-UTESTA-1H-2_W_87	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	2.37	2.37	2015:04:10:3:05:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6603821	XXX-UTESTA-1H-3_W_88	XXX-UTESTA-1H-3_W_88	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	3.88	3.88	2015:04:10:3:08:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6607161	XXX-UTESTA-2H-1_W_87	XXX-UTESTA-2H-1_W_87	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	6.888	5.37	2015:04:10:5:59:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6607171	XXX-UTESTA-2H-2_W_97	XXX-UTESTA-2H-2_W_97	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	8.488	6.97	2015:04:10:6:00:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6607181	XXX-UTESTA-2H-3_W_77	XXX-UTESTA-2H-3_W_77	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	9.788	8.27	2015:04:10:6:00:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6607191	XXX-UTESTA-2H-4_W_70	XXX-UTESTA-2H-4_W_70	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	11.218	9.7	2015:04:10:6:00:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6608331	XXX-UTESTA-3H-1_W_61	XXX-UTESTA-3H-1_W_61	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	16.556	14.61	2015:04:10:0:00:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6608341	XXX-UTESTA-3H-2_W_86	XXX-UTESTA-3H-2_W_86	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	18.306	16.36	2015:04:10:0:00:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6608351	XXX-UTESTA-3H-3_W_86	XXX-UTESTA-3H-3_W_86	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	19.806	17.86	2015:04:10:0:00:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6608361	XXX-UTESTA-3H-4_W_91	XXX-UTESTA-3H-4_W_91	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	21.356	19.41	2015:04:10:0:00:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6608371	XXX-UTESTA-3H-5_W_90	XXX-UTESTA-3H-5_W_90	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	22.846	20.9	2015:04:10:0:00:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6608381	XXX-UTESTA-3H-6_W_31	XXX-UTESTA-3H-6_W_31	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	23.756	21.81	2015:04:10:0:00:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6609631	XXX-UTESTA-4H-1_W_72	XXX-UTESTA-4H-1_W_72	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	27.184	24.22	2015:04:10:0:00:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6609641	XXX-UTESTA-4H-2_W_54	XXX-UTESTA-4H-2_W_54	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	28.504	25.54	2015:04:10:0:00:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6609651	XXX-UTESTA-4H-3_W_72	XXX-UTESTA-4H-3_W_72	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	30.184	27.22	2015:04:10:0:00:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6609661	XXX-UTESTA-4H-4_W_72	XXX-UTESTA-4H-4_W_72	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	31.684	28.72	2015:04:10:0:00:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6609671	XXX-UTESTA-4H-5_W_72	XXX-UTESTA-4H-5_W_72	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	33.184	30.22	2015:04:10:0:00:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6640231	XXX-UTESTA-4H-6_W_72	XXX-UTESTA-4H-6_W_72	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	34.684	31.72	2015:04:11:14:31:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6609711	XXX-UTESTA-4H-7_W_54	XXX-UTESTA-4H-7_W_54	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	35.414	32.45	2015:04:10:0:00:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6610401	XXX-UTESTA-5H-1_W_78	XXX-UTESTA-5H-1_W_78	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	37.779	33.78	2015:04:10:16:49:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6610411	XXX-UTESTA-5H-2_W_78	XXX-UTESTA-5H-2_W_78	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	39.279	35.28	2015:04:10:16:49:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6610421	XXX-UTESTA-5H-3_W_50	XXX-UTESTA-5H-3_W_50	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	40.499	36.5	2015:04:10:16:49:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6610431	XXX-UTESTA-5H-4_W_75	XXX-UTESTA-5H-4_W_75	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	42.249	38.25	2015:04:10:16:49:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6610441	XXX-UTESTA-5H-5_W_82	XXX-UTESTA-5H-5_W_82	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	43.819	39.82	2015:04:10:16:49:00.00	0	7e-06
