tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_instrument_codes	magic_method_codes	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_correction	specimen_dec	specimen_description	specimen_direction_type	specimen_flag	specimen_inc	specimen_inferred_age	specimen_inferred_age_sigma	specimen_inferred_age_unit	specimen_mad	specimen_n	specimen_nrm	specimen_tilt_correction
Peter C. Lippert	This study	Wulan Wula Hu	06X034	WWH-1	06X034b	IPGP-2GH : SIO-SUZY	DE-BFP-G:LP-DIR-AF	120	15	mT	u	154.5		p	g	47.9	38.6	0.5	Ma	4.7	9	p	100
Peter C. Lippert	This study	Wulan Wula Hu	06X035	WWH-1	06X035b	IPGP-2GH : SIO-SUZY	DE-BFP-G:LP-DIR-AF	140	20	mT	u	341.5		p	g	-44.9	38.6	0.5	Ma	7.7	8	p	100
Peter C. Lippert	This study	Wulan Wula Hu	06X036	WWH-1	06X036b	IPGP-2GH : SIO-SUZY	DE-BFP-G:LP-DIR-AF	120	20	mT	u	340.8		p	g	-44.4	38.6	0.5	Ma	4.3	9	p	100
Peter C. Lippert	This study	Wulan Wula Hu	06X037	WWH-1	06X037b	IPGP-2GH : SIO-SUZY	DE-BFP-G:LP-DIR-AF	100	25	mT	u	142.9		p	g	34.9	38.6	0.5	Ma	6.2	7	p	100
Peter C. Lippert	This study	Wulan Wula Hu	06X038	WWH-1	06X038a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	60	20	mT	u	23.1		l	g	21.8	38.6	0.5	Ma	2.1	6	p	100
Peter C. Lippert	This study	Wulan Wula Hu	06X039	WWH-1	06X039b	IPGP-2GH : SIO-SUZY	DE-BFP-G:LP-DIR-AF	120	25	mT	u	318.1		p	g	-40.1	38.6	0.5	Ma	2.3	8	p	100
Peter C. Lippert	This study	Wulan Wula Hu	06X040	WWH-1	06X040b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	60	20	mT	u	29	Specimen not used to calculate site mean direction.	l	g	2.9	38.6	0.5	Ma	1.6	6	p	100
Peter C. Lippert	This study	Wulan Wula Hu	06X041	WWH-1	06X041b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	80	20	mT	u	24.4		l	g	10.4	38.6	0.5	Ma	1.6	7	p	100
Peter C. Lippert	This study	Wulan Wula Hu	06X042	WWH-1	06X042b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	60	20	mT	u	17.4		l	g	15.7	38.6	0.5	Ma	1.7	6	p	100
Peter C. Lippert	This study	Wulan Wula Hu	06X043	WWH-1	06X043a	IPGP-2GH	DE-BFL:LP-DIR-T	560	457	°C	u	21.9	Specimen not used to calculate site mean direction.	l	g	35	38.6	0.5	Ma	1.4	4	p	100
Peter C. Lippert	This study	Wulan Wula Hu	06X043	WWH-1	06X043b	IPGP-2GH : SIO-SUZY	DE-BFP-G:LP-DIR-AF	100	20	mT	u	123.9		p	g	36.4	38.6	0.5	Ma	5	8	p	100
Peter C. Lippert	This study	Wulan Wula Hu	06X054	WWH-2	06X054a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	30	mT	u	6.7		p	g	36.1	38.6	0.5	Ma	2.8	6	p	100
Peter C. Lippert	This study	Wulan Wula Hu	06X055	WWH-2	06X055b	IPGP-2GH	DE-BFL:LP-DIR-T	560	100	°C	u	140	Specimen not used to calculate site mean direction.	p	g	35.8	38.6	0.5	Ma	3.2	12	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X055	WWH-2	06X055c	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	80	20	mT	u	27.9		p	g	29.9	38.6	0.5	Ma	3.6	7	p	100
Peter C. Lippert	This study	Wulan Wula Hu	06X056	WWH-2	06X056b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	50	20	mT	u	16.9		p	g	26.8	38.6	0.5	Ma	2.7	5	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X057	WWH-2	06X057b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	50	mT	u	315.5		p	g	39.6	38.6	0.5	Ma	3.3	4	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X058	WWH-2	06X058b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	60	25	mT	u	353.3		p	g	68	38.6	0.5	Ma	3.2	5	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X059	WWH-2	06X059b	IPGP-2GH : SIO-SUZY	DE-BFP-G:LP-DIR-AF	30	6	mT	u	127.9		p	g	32.3	38.6	0.5	Ma	4.1	7	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X060	WWH-2	06X060b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	80	20	mT	u	346.6		p	g	27.6	38.6	0.5	Ma	1.1	7	p	100
Peter C. Lippert	This study	Wulan Wula Hu	06X044	WWH-3	06X044b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	60	20	mT	u	14.8		p	g	27.7	38.6	0.5	Ma	2.8	5	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X045	WWH-3	06X045b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	60	20	mT	u	3.7		p	g	30.4	38.6	0.5	Ma	1.3	6	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X046	WWH-3	06X046b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	50	20	mT	u	8.5		p	g	31.3	38.6	0.5	Ma	1.3	5	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X047	WWH-3	06X047b	IPGP-2GH : SIO-SUZY	DE-BFP-G:LP-DIR-AF	120	0	mT	u	239.9		p	g	12.9	38.6	0.5	Ma	6.4	16	p	100
Peter C. Lippert	This study	Wulan Wula Hu	06X048	WWH-3	06X048b	IPGP-2GH : SIO-SUZY	DE-BFP-G:LP-DIR-AF	120	0	mT	u	234.9		p	g	15	38.6	0.5	Ma	3.8	16	p	100
Peter C. Lippert	This study	Wulan Wula Hu	06X049	WWH-3	06X049b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	60	25	mT	u	329.4		p	g	34.1	38.6	0.5	Ma	1.3	5	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X050	WWH-3	06X050b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	60	20	mT	u	257.7	Specimen not used to calculate site mean direction.	p	g	69.3	38.6	0.5	Ma	10.5	6	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X051	WWH-3	06X051b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	60	25	mT	u	338.5		p	g	45	38.6	0.5	Ma	0.6	5	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X052	WWH-3	06X052a	IPGP-2GH	DE-BFL:LP-DIR-T	560	500	°C	u	353.2	Specimen not used to calculate site mean direction.	p	g	40.7	38.6	0.5	Ma	2.4	4	l	100
