tab 	er_specimens
er_citation_names	er_location_name	er_sample_name	er_scientist_mail_names	er_site_name	er_specimen_name	magic_method_codes	specimen_alteration	specimen_alteration_type	specimen_azimuth	specimen_class	specimen_dip	specimen_lithology	specimen_type
This study	Wulan Wula Hu	06X034	Peter C. Lippert	WWH-1	06X034b	LP-DC3:LP-DIR-AF	Unaltered	Weathering	226.4	Extrusive : Igneous : Subaerial	47.5	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Wulan Wula Hu	06X035	Peter C. Lippert	WWH-1	06X035b	LP-DC3:LP-DIR-AF	Unaltered	Weathering	350.1	Extrusive : Igneous : Subaerial	10	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Wulan Wula Hu	06X036	Peter C. Lippert	WWH-1	06X036b	LP-DC3:LP-DIR-AF	Unaltered	Weathering	351.9	Extrusive : Igneous : Subaerial	29.5	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Wulan Wula Hu	06X037	Peter C. Lippert	WWH-1	06X037b	LP-DC3:LP-DIR-AF	Unaltered	Weathering	298.6	Extrusive : Igneous : Subaerial	57	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Wulan Wula Hu	06X038	Peter C. Lippert	WWH-1	06X038a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	4	Extrusive : Igneous : Subaerial	24	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Wulan Wula Hu	06X039	Peter C. Lippert	WWH-1	06X039b	LP-DC3:LP-DIR-AF	Unaltered	Weathering	351.1	Extrusive : Igneous : Subaerial	35.5	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Wulan Wula Hu	06X040	Peter C. Lippert	WWH-1	06X040b	LP-DC4:LP-DIR-AF	Unaltered	Weathering	272.1	Extrusive : Igneous : Subaerial	20.5	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Wulan Wula Hu	06X041	Peter C. Lippert	WWH-1	06X041b	LP-DC4:LP-DIR-AF	Unaltered	Weathering	268.7	Extrusive : Igneous : Subaerial	19.5	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Wulan Wula Hu	06X042	Peter C. Lippert	WWH-1	06X042b	LP-DC4:LP-DIR-AF	Unaltered	Weathering	269.8	Extrusive : Igneous : Subaerial	70.5	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Wulan Wula Hu	06X043	Peter C. Lippert	WWH-1	06X043a	LP-DC4:LP-DIR-T	Unaltered	Weathering	320.6	Extrusive : Igneous : Subaerial	77.5	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Wulan Wula Hu	06X043	Peter C. Lippert	WWH-1	06X043b	LP-DC3:LP-DIR-AF	Unaltered	Weathering	320.6	Extrusive : Igneous : Subaerial	77.5	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Wulan Wula Hu	06X054	Peter C. Lippert	WWH-2	06X054a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	335.3	Extrusive : Igneous : Subaerial	76	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Wulan Wula Hu	06X055	Peter C. Lippert	WWH-2	06X055b	LP-DC3:LP-DIR-AF	Unaltered	Weathering	335.3	Extrusive : Igneous : Subaerial	76	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Wulan Wula Hu	06X055	Peter C. Lippert	WWH-2	06X055c	LP-DC4:LP-DIR-AF	Unaltered	Weathering	194.9	Extrusive : Igneous : Subaerial	57.5	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Wulan Wula Hu	06X056	Peter C. Lippert	WWH-2	06X056b	LP-DC4:LP-DIR-AF	Unaltered	Weathering	9.90000000000001	Extrusive : Igneous : Subaerial	49.5	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Wulan Wula Hu	06X057	Peter C. Lippert	WWH-2	06X057b	LP-DC4:LP-DIR-AF	Unaltered	Weathering	7.90000000000001	Extrusive : Igneous : Subaerial	29.5	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Wulan Wula Hu	06X058	Peter C. Lippert	WWH-2	06X058b	LP-DC4:LP-DIR-AF	Unaltered	Weathering	22	Extrusive : Igneous : Subaerial	70.5	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Wulan Wula Hu	06X059	Peter C. Lippert	WWH-2	06X059b	LP-DC3:LP-DIR-AF	Unaltered	Weathering	248.4	Extrusive : Igneous : Subaerial	78.5	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Wulan Wula Hu	06X060	Peter C. Lippert	WWH-2	06X060b	LP-DC4:LP-DIR-AF	Unaltered	Weathering	135.9	Extrusive : Igneous : Subaerial	18.5	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Wulan Wula Hu	06X044	Peter C. Lippert	WWH-3	06X044b	LP-DC4:LP-DIR-AF	Unaltered	Weathering	268.9	Extrusive : Igneous : Subaerial	54.5	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Wulan Wula Hu	06X045	Peter C. Lippert	WWH-3	06X045b	LP-DC4:LP-DIR-AF	Unaltered	Weathering	226.7	Extrusive : Igneous : Subaerial	39.5	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Wulan Wula Hu	06X046	Peter C. Lippert	WWH-3	06X046b	LP-DC4:LP-DIR-AF	Unaltered	Weathering	216.7	Extrusive : Igneous : Subaerial	42	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
