tab	samples
sample	site	lat	lon	geologic_classes	geologic_types	lithologies	azimuth	dip	orientation_quality	citations	method_codes	result_quality	result_type	sample_alternatives	timestamp
318-U1361A-011H_1A-0.75	318-U1361A-011H_1A-0.75	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_1A-0.8	318-U1361A-011H_1A-0.8	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_1A-0.85	318-U1361A-011H_1A-0.85	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_1A-0.9	318-U1361A-011H_1A-0.9	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_1A-0.95	318-U1361A-011H_1A-0.95	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_1A-1	318-U1361A-011H_1A-1	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_1A-1.05	318-U1361A-011H_1A-1.05	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_1A-1.1	318-U1361A-011H_1A-1.1	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_1A-1.15	318-U1361A-011H_1A-1.15	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_1A-1.2	318-U1361A-011H_1A-1.2	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_1A-1.25	318-U1361A-011H_1A-1.25	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_1A-1.3	318-U1361A-011H_1A-1.3	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_1A-1.35	318-U1361A-011H_1A-1.35	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_1A-1.4	318-U1361A-011H_1A-1.4	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_1A-1.45	318-U1361A-011H_1A-1.45	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_2A-0.1	318-U1361A-011H_2A-0.1	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_2A-0.15	318-U1361A-011H_2A-0.15	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_2A-0.2	318-U1361A-011H_2A-0.2	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_2A-0.25	318-U1361A-011H_2A-0.25	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_2A-0.3	318-U1361A-011H_2A-0.3	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_2A-0.35	318-U1361A-011H_2A-0.35	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_2A-0.4	318-U1361A-011H_2A-0.4	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_2A-0.45	318-U1361A-011H_2A-0.45	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_2A-0.5	318-U1361A-011H_2A-0.5	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_2A-0.55	318-U1361A-011H_2A-0.55	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_2A-0.6	318-U1361A-011H_2A-0.6	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_2A-0.65	318-U1361A-011H_2A-0.65	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_2A-0.7	318-U1361A-011H_2A-0.7	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_2A-0.75	318-U1361A-011H_2A-0.75	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_2A-0.8	318-U1361A-011H_2A-0.8	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_2A-0.85	318-U1361A-011H_2A-0.85	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_2A-0.9	318-U1361A-011H_2A-0.9	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_2A-0.95	318-U1361A-011H_2A-0.95	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_2A-1	318-U1361A-011H_2A-1	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_2A-1.05	318-U1361A-011H_2A-1.05	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_2A-1.1	318-U1361A-011H_2A-1.1	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_2A-1.15	318-U1361A-011H_2A-1.15	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_2A-1.2	318-U1361A-011H_2A-1.2	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_2A-1.25	318-U1361A-011H_2A-1.25	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_2A-1.3	318-U1361A-011H_2A-1.3	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_2A-1.35	318-U1361A-011H_2A-1.35	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_2A-1.4	318-U1361A-011H_2A-1.4	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_2A-1.45	318-U1361A-011H_2A-1.45	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_3A-0.1	318-U1361A-011H_3A-0.1	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_3A-0.15	318-U1361A-011H_3A-0.15	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_3A-0.2	318-U1361A-011H_3A-0.2	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_3A-0.25	318-U1361A-011H_3A-0.25	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_3A-0.3	318-U1361A-011H_3A-0.3	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_3A-0.35	318-U1361A-011H_3A-0.35	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_3A-0.4	318-U1361A-011H_3A-0.4	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_3A-0.45	318-U1361A-011H_3A-0.45	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_3A-0.5	318-U1361A-011H_3A-0.5	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_3A-0.55	318-U1361A-011H_3A-0.55	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_3A-0.6	318-U1361A-011H_3A-0.6	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_3A-0.65	318-U1361A-011H_3A-0.65	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_3A-0.7	318-U1361A-011H_3A-0.7	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_3A-0.75	318-U1361A-011H_3A-0.75	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_3A-0.8	318-U1361A-011H_3A-0.8	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_3A-0.85	318-U1361A-011H_3A-0.85	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_3A-0.9	318-U1361A-011H_3A-0.9	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_3A-0.95	318-U1361A-011H_3A-0.95	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_3A-1	318-U1361A-011H_3A-1	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_3A-1.05	318-U1361A-011H_3A-1.05	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_3A-1.1	318-U1361A-011H_3A-1.1	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_3A-1.15	318-U1361A-011H_3A-1.15	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_3A-1.2	318-U1361A-011H_3A-1.2	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_3A-1.25	318-U1361A-011H_3A-1.25	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_3A-1.3	318-U1361A-011H_3A-1.3	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_3A-1.35	318-U1361A-011H_3A-1.35	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_3A-1.4	318-U1361A-011H_3A-1.4	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_3A-1.45	318-U1361A-011H_3A-1.45	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_4A-0.1	318-U1361A-011H_4A-0.1	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_4A-0.15	318-U1361A-011H_4A-0.15	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_4A-0.2	318-U1361A-011H_4A-0.2	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_4A-0.25	318-U1361A-011H_4A-0.25	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_4A-0.3	318-U1361A-011H_4A-0.3	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_4A-0.35	318-U1361A-011H_4A-0.35	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_4A-0.4	318-U1361A-011H_4A-0.4	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_4A-0.45	318-U1361A-011H_4A-0.45	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_4A-0.5	318-U1361A-011H_4A-0.5	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_4A-0.55	318-U1361A-011H_4A-0.55	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_4A-0.6	318-U1361A-011H_4A-0.6	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_4A-0.65	318-U1361A-011H_4A-0.65	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_4A-0.7	318-U1361A-011H_4A-0.7	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_4A-0.75	318-U1361A-011H_4A-0.75	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_4A-0.8	318-U1361A-011H_4A-0.8	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_4A-0.85	318-U1361A-011H_4A-0.85	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_4A-0.9	318-U1361A-011H_4A-0.9	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_4A-0.95	318-U1361A-011H_4A-0.95	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_4A-1	318-U1361A-011H_4A-1	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_4A-1.05	318-U1361A-011H_4A-1.05	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_4A-1.1	318-U1361A-011H_4A-1.1	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_4A-1.15	318-U1361A-011H_4A-1.15	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_4A-1.2	318-U1361A-011H_4A-1.2	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_4A-1.25	318-U1361A-011H_4A-1.25	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_4A-1.3	318-U1361A-011H_4A-1.3	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_4A-1.35	318-U1361A-011H_4A-1.35	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_4A-1.4	318-U1361A-011H_4A-1.4	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_4A-1.45	318-U1361A-011H_4A-1.45	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_5A-0.1	318-U1361A-011H_5A-0.1	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_5A-0.15	318-U1361A-011H_5A-0.15	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_5A-0.2	318-U1361A-011H_5A-0.2	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_5A-0.25	318-U1361A-011H_5A-0.25	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_5A-0.3	318-U1361A-011H_5A-0.3	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_5A-0.35	318-U1361A-011H_5A-0.35	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_5A-0.4	318-U1361A-011H_5A-0.4	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_5A-0.45	318-U1361A-011H_5A-0.45	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_5A-0.5	318-U1361A-011H_5A-0.5	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_5A-0.55	318-U1361A-011H_5A-0.55	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_5A-0.6	318-U1361A-011H_5A-0.6	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-011H_5A-0.65	318-U1361A-011H_5A-0.65	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
