tab delimited	contribution
id	version	timestamp	contributor	data_model_version	reference	description
14132	4	2015-02-20T12:21:14.000Z	@ltauxe	3.0	10.1111/j.1365-246X.1997.tb04082.x	Upgraded to MagIC Data Model 3.0 by the MagIC Database Team
>>>>>>>>>>
tab delimited	locations
location	location_type	citations	plate_blocks	lat_s	lat_n	lon_w	lon_e	continent_ocean
DSDP Site 522	Drill Site	This study	African Plate	-27	-27	355	355	Atlantic Ocean
>>>>>>>>>>
tab delimited	sites
site	location	citations	geologic_classes	geologic_types	lithologies	core_depth	age	age_unit
17-2-020	17-2-020	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-024	17-2-024	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-027	17-2-027	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-030	17-2-030	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-033	17-2-033	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-037	17-2-037	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-040	17-2-040	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-043	17-2-043	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-046	17-2-046	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-049	17-2-049	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-052	17-2-052	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-056	17-2-056	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-059	17-2-059	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-063	17-2-063	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-066	17-2-066	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-070	17-2-070	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-073	17-2-073	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-076	17-2-076	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-080	17-2-080	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-083	17-2-083	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-086	17-2-086	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-090	17-2-090	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-094	17-2-094	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-097	17-2-097	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-099	17-2-099	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-103	17-2-103	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-106	17-2-106	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-109	17-2-109	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-112	17-2-112	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-115	17-2-115	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-118	17-2-118	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-122	17-2-122	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-125	17-2-125	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-128	17-2-128	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-131	17-2-131	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-134	17-2-134	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-137	17-2-137	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-2-141	17-2-141	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-004	17-3-004	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-007	17-3-007	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-010	17-3-010	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-013	17-3-013	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-017	17-3-017	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-019	17-3-019	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-022	17-3-022	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-025	17-3-025	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-027	17-3-027	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-030	17-3-030	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-034	17-3-034	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-036	17-3-036	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-039	17-3-039	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-043	17-3-043	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-046	17-3-046	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-049	17-3-049	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-053	17-3-053	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-056	17-3-056	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-060	17-3-060	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-063	17-3-063	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-066	17-3-066	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-070	17-3-070	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-073	17-3-073	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-076	17-3-076	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-079	17-3-079	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-082	17-3-082	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-084	17-3-084	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-088	17-3-088	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-091	17-3-091	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-094	17-3-094	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-097	17-3-097	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-099	17-3-099	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-103	17-3-103	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-106	17-3-106	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-110	17-3-110	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-113	17-3-113	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-117	17-3-117	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-120	17-3-120	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-123	17-3-123	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-126	17-3-126	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-129	17-3-129	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-132	17-3-132	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
17-3-135	17-3-135	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-1-051	18-1-051	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-1-054	18-1-054	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-1-057	18-1-057	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-1-059	18-1-059	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-1-063	18-1-063	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-1-065	18-1-065	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-1-069	18-1-069	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-1-072	18-1-072	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-1-075	18-1-075	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-1-078	18-1-078	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-1-082	18-1-082	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-1-085	18-1-085	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-1-088	18-1-088	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-1-091	18-1-091	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-1-094	18-1-094	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-1-097	18-1-097	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-1-101	18-1-101	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-1-104	18-1-104	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-1-107	18-1-107	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-1-111	18-1-111	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-1-114	18-1-114	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-1-117	18-1-117	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-1-120	18-1-120	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-1-123	18-1-123	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-1-126	18-1-126	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-1-128	18-1-128	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-1-132	18-1-132	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-1-135	18-1-135	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-1-138	18-1-138	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-1-142	18-1-142	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-1-145	18-1-145	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-1-147	18-1-147	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-1-150	18-1-150	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-002	18-2-002	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-008	18-2-008	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-012	18-2-012	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-015	18-2-015	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-018	18-2-018	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-022	18-2-022	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-025	18-2-025	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-028	18-2-028	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-031	18-2-031	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-034	18-2-034	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-037	18-2-037	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-039	18-2-039	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-043	18-2-043	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-046	18-2-046	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-049	18-2-049	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-052	18-2-052	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-054	18-2-054	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-057	18-2-057	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-060	18-2-060	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-063	18-2-063	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-065	18-2-065	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-069	18-2-069	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-073	18-2-073	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-077	18-2-077	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-079	18-2-079	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-082	18-2-082	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-086	18-2-086	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-089	18-2-089	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-093	18-2-093	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-096	18-2-096	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-098	18-2-098	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-102	18-2-102	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-104	18-2-104	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-107	18-2-107	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-109	18-2-109	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-112	18-2-112	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-115	18-2-115	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-118	18-2-118	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-122	18-2-122	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-125	18-2-125	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-128	18-2-128	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-130	18-2-130	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-133	18-2-133	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-136	18-2-136	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-139	18-2-139	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-142	18-2-142	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-145	18-2-145	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-148	18-2-148	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-2-150	18-2-150	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-3-002	18-3-002	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-3-005	18-3-005	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-3-008	18-3-008	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-3-010	18-3-010	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-3-013	18-3-013	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-3-018	18-3-018	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-3-021	18-3-021	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-3-024	18-3-024	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-3-027	18-3-027	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-3-029	18-3-029	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-3-032	18-3-032	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-3-035	18-3-035	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-3-039	18-3-039	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-3-042	18-3-042	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-3-045	18-3-045	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-3-047	18-3-047	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-3-051	18-3-051	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-3-054	18-3-054	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-3-058	18-3-058	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-3-061	18-3-061	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-3-064	18-3-064	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-3-067	18-3-067	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-3-071	18-3-071	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-3-075	18-3-075	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-3-078	18-3-078	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-3-080	18-3-080	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-3-083	18-3-083	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-3-086	18-3-086	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-3-089	18-3-089	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-3-093	18-3-093	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-3-096	18-3-096	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-3-099	18-3-099	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-3-102	18-3-102	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-3-105	18-3-105	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
18-3-107	18-3-107	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-1-024	19-1-024	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-1-028	19-1-028	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-1-043	19-1-043	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-1-046	19-1-046	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-1-049	19-1-049	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-1-053	19-1-053	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-1-057	19-1-057	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-1-061	19-1-061	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-1-064	19-1-064	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-1-071	19-1-071	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-1-074	19-1-074	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-1-077	19-1-077	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-1-080	19-1-080	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-1-083	19-1-083	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-1-088	19-1-088	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-1-091	19-1-091	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-1-094	19-1-094	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-1-098	19-1-098	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-1-100	19-1-100	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-1-103	19-1-103	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-1-106	19-1-106	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-1-109	19-1-109	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-1-113	19-1-113	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-1-117	19-1-117	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-1-121	19-1-121	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-1-124	19-1-124	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-1-128	19-1-128	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-1-131	19-1-131	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-1-135	19-1-135	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-1-137	19-1-137	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-1-140	19-1-140	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-1-144	19-1-144	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-1-147	19-1-147	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-1-150	19-1-150	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-001	19-2-001	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-004	19-2-004	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-008	19-2-008	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-010	19-2-010	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-014	19-2-014	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-017	19-2-017	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-020	19-2-020	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-025	19-2-025	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-028	19-2-028	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-032	19-2-032	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-035	19-2-035	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-039	19-2-039	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-042	19-2-042	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-045	19-2-045	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-048	19-2-048	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-051	19-2-051	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-055	19-2-055	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-057	19-2-057	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-062	19-2-062	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-065	19-2-065	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-069	19-2-069	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-072	19-2-072	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-076	19-2-076	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-079	19-2-079	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-082	19-2-082	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-085	19-2-085	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-090	19-2-090	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-092	19-2-092	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-096	19-2-096	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-100	19-2-100	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-102	19-2-102	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-106	19-2-106	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-109	19-2-109	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-112	19-2-112	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-115	19-2-115	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-118	19-2-118	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-122	19-2-122	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-125	19-2-125	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-128	19-2-128	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-131	19-2-131	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-135	19-2-135	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-138	19-2-138	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-142	19-2-142	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-145	19-2-145	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-2-148	19-2-148	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-001	19-3-001	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-004	19-3-004	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-007	19-3-007	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-010	19-3-010	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-013	19-3-013	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-017	19-3-017	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-020	19-3-020	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-023	19-3-023	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-026	19-3-026	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-030	19-3-030	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-034	19-3-034	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-038	19-3-038	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-041	19-3-041	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-044	19-3-044	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-046	19-3-046	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-050	19-3-050	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-053	19-3-053	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-058	19-3-058	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-060	19-3-060	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-063	19-3-063	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-066	19-3-066	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-070	19-3-070	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-072	19-3-072	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-076	19-3-076	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-080	19-3-080	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-083	19-3-083	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-086	19-3-086	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-092	19-3-092	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-095	19-3-095	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-098	19-3-098	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-101	19-3-101	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-104	19-3-104	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-108	19-3-108	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-111	19-3-111	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-114	19-3-114	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
19-3-117	19-3-117	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
20-1-012	20-1-012	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
20-1-015	20-1-015	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
20-1-017	20-1-017	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
20-1-020	20-1-020	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
20-1-024	20-1-024	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
20-1-028	20-1-028	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
20-1-031	20-1-031	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
20-1-035	20-1-035	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
20-1-039	20-1-039	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
20-1-043	20-1-043	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
20-1-045	20-1-045	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
20-1-049	20-1-049	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
20-1-051	20-1-051	FS-C-DRILL-IODP:SO-V:SP-SS-C	This study
